layer_id,layer_number,layer_type,all_mean,all_std,all_min,all_max,all_tokens,loss_mean,loss_std,loss_min,loss_max,loss_tokens
0,1,linear_attention,0.123825892416876,0.04388069875198643,0.03451646491885185,0.2618924081325531,5169,0.12172882913072777,0.04276317058614131,0.03451646491885185,0.2618924081325531,4378
1,2,linear_attention,0.9366386237931358,0.03133349582056963,0.6842562556266785,0.9872832298278809,5169,0.9402579302763819,0.027621021781381677,0.6842562556266785,0.9872832298278809,4378
2,3,linear_attention,0.8899392725582348,0.05336973981435382,0.5399879217147827,0.9650956392288208,5169,0.8994691377363558,0.043151532009439025,0.5399879217147827,0.9650956392288208,4378
3,4,full_attention,0.894420940379244,0.040890177059675036,0.5378333926200867,0.9618627429008484,5169,0.9001142345862391,0.034345635419195254,0.5984947681427002,0.9618627429008484,4378
4,5,linear_attention,0.9194788240007286,0.03368653882421961,0.6343618631362915,0.9749888181686401,5169,0.9238664079006539,0.030121015084695717,0.6343618631362915,0.9749888181686401,4378
5,6,linear_attention,0.9011414554276396,0.033658907339785736,0.70173579454422,0.9644140601158142,5169,0.9068578944025436,0.029023601682146887,0.70173579454422,0.9644140601158142,4378
6,7,linear_attention,0.8808657040469626,0.03555338184939454,0.6551549434661865,0.949536144733429,5169,0.8885840620282253,0.02822291108420347,0.7207578420639038,0.949536144733429,4378
7,8,full_attention,0.8866320444181962,0.035613413338630044,0.673603892326355,0.9785920977592468,5169,0.8912112713949274,0.031805095427318,0.699452817440033,0.9532349109649658,4378
8,9,linear_attention,0.911472077756215,0.037590813515986234,0.6496703624725342,0.9968311786651611,5169,0.915458836039216,0.03523849851971664,0.6496703624725342,0.9721760749816895,4378
9,10,linear_attention,0.9206145927324404,0.031561863058234566,0.7633031606674194,0.9972595572471619,5169,0.9235893517882381,0.02998044260747978,0.7818117737770081,0.9732205271720886,4378
10,11,linear_attention,0.9204014951381584,0.028004463087021675,0.7598114013671875,0.979310154914856,5169,0.924106596157724,0.025868672388099638,0.7598114013671875,0.9691914319992065,4378
11,12,full_attention,0.9106076846249124,0.02706726695084945,0.6675289869308472,0.995987057685852,5169,0.911153226096971,0.026730023885140303,0.6675289869308472,0.9628393650054932,4378
12,13,linear_attention,0.9274214532209748,0.022870001155343007,0.7254773378372192,0.9987858533859253,5169,0.9281712894082451,0.022499019819371163,0.7254773378372192,0.9719905853271484,4378
13,14,linear_attention,0.9341704785005108,0.01985465277153055,0.7715862989425659,0.9988595843315125,5169,0.9344611658032707,0.019319980433108522,0.7715862989425659,0.9723019599914551,4378
14,15,linear_attention,0.925339574623809,0.019709890637865532,0.7722263336181641,0.9953643679618835,5169,0.9260750078294526,0.018699000830169264,0.7722263336181641,0.9620251655578613,4378
15,16,full_attention,0.9072457444716248,0.028947990880934953,0.7271126508712769,0.9873666763305664,5169,0.9034734371319488,0.027180985162233846,0.7271126508712769,0.9612131714820862,4378
16,17,linear_attention,0.915868498273965,0.022257671731399732,0.7748775482177734,0.9956743717193604,5169,0.9128822337116156,0.021222438146602247,0.7748775482177734,0.9570730328559875,4378
17,18,linear_attention,0.9074264116041848,0.02543294891882146,0.7205390930175781,0.995360791683197,5169,0.9039844079015461,0.0240221047948854,0.7205390930175781,0.9574377536773682,4378
18,19,linear_attention,0.8682156808373084,0.04180573035968324,0.6226995587348938,0.950303316116333,5169,0.8633163786740432,0.041742821786439954,0.6226995587348938,0.9371346235275269,4378
19,20,full_attention,0.8441060738352286,0.04457329733586517,0.5901334285736084,0.9522460699081421,5169,0.837687708896935,0.042258149244457595,0.5901334285736084,0.9289731979370117,4378
20,21,linear_attention,0.9100810099118544,0.02724317513712797,0.7168066501617432,0.9721341133117676,5169,0.9086033632462294,0.02527836758623004,0.7168066501617432,0.960185170173645,4378
